,0
2022-03-01,1.0
2022-03-02,30.529434
2022-03-03,30.5147
2022-03-04,28.692291
2022-03-05,26.348759
2022-03-06,26.997795
2022-03-07,25.937872
2022-03-08,25.074926
2022-03-09,25.395006
2022-03-10,26.453259
2022-03-11,25.13534
2022-03-12,24.694077
2022-03-13,24.574865
2022-03-14,23.669422
2022-03-15,24.340393
2022-03-16,24.223297
2022-03-17,25.791908
2022-03-18,25.546757
2022-03-19,26.08711
2022-03-20,27.158588
2022-03-21,27.082684
2022-03-22,26.544641
2022-03-23,27.275517
2022-03-24,27.927597
2022-03-25,28.89986
2022-03-26,28.29469
2022-03-27,29.454185
2022-03-28,30.472694
2022-03-29,30.830976
