,0
2022-03-01,1.0
2022-03-02,1.2948327
2022-03-03,1.2807859
2022-03-04,1.2062817
2022-03-05,1.1108648
2022-03-06,1.1406838
2022-03-07,1.098332
2022-03-08,1.064364
2022-03-09,1.0801685
2022-03-10,1.1271158
2022-03-11,1.0732751
2022-03-12,1.0568441
2022-03-13,1.0539324
2022-03-14,1.017368
2022-03-15,1.0482401
2022-03-16,1.0451859
2022-03-17,1.114685
2022-03-18,1.1061226
2022-03-19,1.1316267
2022-03-20,1.1799897
2022-03-21,1.1786966
2022-03-22,1.1575323
2022-03-23,1.1914973
2022-03-24,1.2220157
2022-03-25,1.2666321
2022-03-26,1.2424741
2022-03-27,1.2956382
2022-03-28,1.3425374
2022-03-29,1.3606571
