,0
2022-03-01,0.1
2022-03-02,0.39485976
2022-03-03,0.39346144
2022-03-04,0.37076738
2022-03-05,0.34148252
2022-03-06,0.35067147
2022-03-07,0.33767432
2022-03-08,0.3272552
2022-03-09,0.33213538
2022-03-10,0.34658924
2022-03-11,0.330055
2022-03-12,0.32502493
2022-03-13,0.32415026
2022-03-14,0.31292596
2022-03-15,0.32244107
2022-03-16,0.3215206
2022-03-17,0.34291738
2022-03-18,0.34030277
2022-03-19,0.34816945
2022-03-20,0.36306748
2022-03-21,0.36268896
2022-03-22,0.35619843
2022-03-23,0.3666705
2022-03-24,0.3760819
2022-03-25,0.38983297
2022-03-26,0.38242087
2022-03-27,0.39880618
2022-03-28,0.41326258
2022-03-29,0.41886306
