,0,1,2,3,4,5,6,7,8,9
2022-03-01,0.19823325,0.08201144,0.285049,0.046025425,0.15688555,10.347468,0.7149951,0.07508581,0.054402646,0.3210828
2022-03-02,0.053968567,0.10821336,0.047194194,0.18654007,0.0628483,0.0010172762,0.011272533,0.1339146,0.14187303,0.03731659
2022-03-03,1.6417447,3.4181376,1.476341,5.982496,2.0022993,0.03747774,0.36321977,4.267794,4.593633,1.2077209
2022-03-04,1.6543493,3.7597158,1.5610098,6.478808,2.1598406,0.039236862,0.39565474,4.7059402,5.1862984,1.2936354
2022-03-05,1.5810387,3.3880658,1.4303855,5.9567027,1.9550334,0.03453957,0.36914647,4.3240943,4.807019,1.1837138
2022-03-06,1.5126164,3.319324,1.3899978,5.84516,1.8784908,0.032783195,0.31008455,4.06617,4.684355,1.142583
2022-03-07,1.5454167,3.4496398,1.4661494,6.2344112,1.9909468,0.03410478,0.32838672,4.4660277,4.96233,1.2064986
2022-03-08,1.5009067,3.1763008,1.3831598,5.7438426,1.865176,0.031149924,0.3406169,4.2985783,4.5711274,1.1341792
2022-03-09,1.4282318,2.8729148,1.2861172,5.2998786,1.7322427,0.029715788,0.31439328,3.707843,4.294057,1.0438623
2022-03-10,1.4622175,3.12928,1.3669002,5.717988,1.8340193,0.03241463,0.329599,3.9736972,4.5348096,1.1058344
2022-03-11,1.5204445,3.4133353,1.4654367,5.903511,1.9416211,0.032896407,0.3496005,4.3982034,4.617996,1.1758449
2022-03-12,1.4658093,3.1963434,1.3833343,5.704455,1.8297005,0.031506334,0.3357154,4.108463,4.5282564,1.1161441
2022-03-13,1.4410298,3.235712,1.3824538,5.9026294,1.8246216,0.03493788,0.3391806,4.131281,4.641477,1.1186589
2022-03-14,1.4352881,3.113806,1.3551022,5.787702,1.7885684,0.029616773,0.33444008,4.0265856,4.4015484,1.1067438
2022-03-15,1.41567,2.9830081,1.3248433,5.3959284,1.7400905,0.027502064,0.33550167,3.887896,4.185852,1.0752528
2022-03-16,1.4123143,2.9487464,1.2353032,5.1923337,1.6599672,0.028329488,0.32568547,3.7322886,4.1279078,0.9229906
2022-03-17,1.405583,2.9778345,1.2481852,5.378233,1.6724187,0.027897501,0.31263793,3.8399043,4.1320596,0.9233649
2022-03-18,1.4624169,3.0198138,1.33482,5.5018444,1.7343466,0.027346514,0.33655146,3.6533825,4.368757,1.0401084
2022-03-19,1.4071261,2.0248485,1.2858946,4.9847136,1.6356071,0.028249403,0.3363878,3.6295764,4.168283,1.0406352
2022-03-20,1.4378606,2.225268,1.3588028,5.336523,1.7537401,0.029998193,0.32126373,3.9897997,2.6989763,1.0945189
2022-03-21,1.4771687,2.8173141,1.3849267,5.5982885,1.8214139,0.030616766,0.3337296,4.055448,3.1741507,1.1092414
2022-03-22,1.4326773,2.7163208,1.3255672,5.1756244,1.7468804,0.026891459,0.33480063,3.8191462,3.750142,1.0604174
2022-03-23,1.4094135,2.5851235,1.2623668,5.0254593,1.6398762,0.02331244,0.33026057,3.6088653,3.8423889,0.9908928
2022-03-24,1.4494252,2.5537925,1.2133393,5.2164254,1.5284051,0.022742933,0.3292747,3.6801012,3.7821238,0.968355
2022-03-25,1.4723558,2.7139719,1.2981101,5.538978,1.6453842,0.022321703,0.33519012,3.9656432,3.8066978,1.0293466
2022-03-26,1.4765955,2.7302902,1.3409796,5.5227857,1.7020284,0.019591786,0.33472115,3.9005835,3.5874808,1.0544841
2022-03-27,1.4569445,2.5618558,1.2501796,4.8924317,1.5267187,0.02041704,0.2968931,3.586751,3.4877288,0.9858802
2022-03-28,1.493149,2.647238,1.2896087,5.0922627,1.6409177,0.021206936,0.2512142,3.6367338,3.824541,1.0274136
2022-03-29,1.504367,2.5743306,1.3321881,5.0915356,1.690772,0.02271228,0.24835753,3.6133316,3.9137213,1.0609483
