,0,1,2,3,4,5,6,7,8,9
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,0.05396855,0.10821336,0.047194183,0.18654004,0.062848374,0.001017276,0.011272532,0.13391457,0.14187302,0.037316583
2022-03-03,0.053775772,0.11196202,0.048357952,0.19595826,0.06558593,0.0012275934,0.011897362,0.13979274,0.1504657,0.039559226
2022-03-04,0.053453647,0.12148012,0.050437763,0.20933667,0.069786675,0.0012677817,0.012783996,0.15205358,0.16757442,0.041798633
2022-03-05,0.051160164,0.10963301,0.046285253,0.19275047,0.06326221,0.0011176516,0.011945059,0.13992158,0.15554836,0.0383033
2022-03-06,0.049084105,0.107711434,0.045105163,0.18967433,0.060956776,0.0010638084,0.010062183,0.13194643,0.15200642,0.0370766
2022-03-07,0.050257765,0.11218414,0.047679964,0.20274639,0.06474676,0.0011091057,0.010679311,0.14523761,0.16137762,0.039235983
2022-03-08,0.048919644,0.103526466,0.04508189,0.1872114,0.060792547,0.0010152821,0.011101865,0.14010529,0.1489886,0.03696676
2022-03-09,0.046664875,0.09386729,0.04202155,0.17316394,0.056598,0.0009709096,0.010272231,0.12114705,0.14030056,0.034106307
2022-03-10,0.0478746,0.10245607,0.044753812,0.18721324,0.06004791,0.0010612906,0.010791432,0.13010322,0.14847466,0.036206234
2022-03-11,0.049867496,0.1119505,0.048063364,0.19362324,0.06368136,0.0010789357,0.01146619,0.1442522,0.15146096,0.03856534
2022-03-12,0.048180457,0.10506232,0.045469556,0.18750277,0.060141515,0.0010355985,0.011034809,0.13504325,0.14884168,0.036687132
2022-03-13,0.04747537,0.106602,0.045545563,0.1944648,0.060113102,0.0011510445,0.011174459,0.13610691,0.15291557,0.03685472
2022-03-14,0.047385696,0.10280158,0.04473839,0.19107963,0.05904928,0.0009777908,0.011041461,0.13293679,0.1453161,0.03653889
2022-03-15,0.046843454,0.098705515,0.04383807,0.17854726,0.057578415,0.0009100228,0.0111015,0.1286476,0.13850674,0.03557931
2022-03-16,0.046824124,0.0977633,0.040955476,0.17214763,0.055034965,0.00093924114,0.010797838,0.12374099,0.13685745,0.030601
2022-03-17,0.046690706,0.098917834,0.04146226,0.17865434,0.055554572,0.0009267003,0.010385219,0.1275541,0.13725893,0.030672371
2022-03-18,0.048658744,0.10047774,0.044413235,0.18306191,0.057706717,0.0009098959,0.01119802,0.121558376,0.1453609,0.03460735
2022-03-19,0.046906143,0.06749776,0.04286494,0.16616403,0.054522604,0.000941686,0.011213395,0.12099092,0.13894856,0.034689285
2022-03-20,0.048021045,0.07431855,0.04538071,0.17822693,0.05857075,0.0010018669,0.01072943,0.13324963,0.09013925,0.03655428
2022-03-21,0.049413536,0.09424347,0.04632791,0.1872713,0.060929164,0.0010241776,0.011163766,0.1356609,0.10618018,0.037105817
2022-03-22,0.04800773,0.0910215,0.044418585,0.17343056,0.058536503,0.00090110884,0.011218874,0.1279762,0.12566394,0.035533648
2022-03-23,0.047321226,0.08679585,0.04238412,0.16873045,0.055059146,0.0007827182,0.011088542,0.12116813,0.12900871,0.03326935
2022-03-24,0.04875117,0.08589642,0.040810477,0.17545366,0.051407743,0.0007649551,0.011075104,0.12377964,0.12721115,0.032570474
2022-03-25,0.04960583,0.09143774,0.04373526,0.18661644,0.055435516,0.00075205136,0.0112930555,0.13360842,0.12825333,0.03468022
2022-03-26,0.049831115,0.092139974,0.045254458,0.1863792,0.057438944,0.00066117017,0.011295939,0.13163422,0.12106784,0.035586003
2022-03-27,0.049262717,0.08662242,0.04227153,0.1654247,0.051622037,0.0006903484,0.010038659,0.12127654,0.117928356,0.033334944
2022-03-28,0.050575573,0.08966662,0.04368132,0.17248392,0.055580832,0.00071831635,0.008509069,0.123182595,0.12954395,0.03480031
2022-03-29,0.05103609,0.08733496,0.04519489,0.1727319,0.05736,0.00077052106,0.0084256055,0.122583374,0.1327742,0.03599299
