,0
2022-03-01,0.0
2022-03-02,0.0007876132
2022-03-03,4.7845795e-05
2022-03-04,6.5495435e-05
2022-03-05,6.47307e-05
2022-03-06,6.249052e-05
2022-03-07,6.1009097e-05
2022-03-08,6.117052e-05
2022-03-09,6.0078113e-05
2022-03-10,5.959937e-05
2022-03-11,6.03258e-05
2022-03-12,6.0697002e-05
2022-03-13,5.9554048e-05
2022-03-14,5.9226004e-05
2022-03-15,5.8836795e-05
2022-03-16,5.844879e-05
2022-03-17,5.8992082e-05
2022-03-18,5.9578757e-05
2022-03-19,6.0784125e-05
2022-03-20,6.086325e-05
2022-03-21,6.178219e-05
2022-03-22,6.266472e-05
2022-03-23,6.244729e-05
2022-03-24,6.2372026e-05
2022-03-25,6.3282685e-05
2022-03-26,6.4259904e-05
2022-03-27,6.48626e-05
2022-03-28,6.490943e-05
2022-03-29,6.632625e-05
