timestamp,aavegotchi,audius,decentraland,dodo,enjincoin,nftx,rarible,superfarm,superrare,the-sandbox,ethereum,axie-infinity,maker,1inch,sushi,aave,solana,matic-network,yield-guild-games
2021-09-02,109403734.56318852,1013828022.0369518,1295954847.8975787,305113080.1045916,1944681397.563052,94732811.46129732,130013996.53703491,276409376.1745007,290970723.8170901,891381409.9075176,444243407062.371,4281707937.302709,3316225739.024469,605644309.5080248,2656942470.9120584,5403545583.965687,32218252304.33078,9477410254.067276,777742258.8459173
2021-09-03,107720035.70433068,1059470158.0749032,1286012017.067924,293017996.2575325,1915240532.3163884,90972575.4337347,119280759.03902936,266916054.1602817,248390748.83174628,884649465.1464573,444936758974.6008,4200995251.422333,3208423394.998065,608081167.8645989,2538843378.237537,5261286016.562471,37338512656.086975,9549638915.107544,783665300.2324237
2021-09-04,106250262.52074108,1128337381.262188,1319473597.402466,305483039.69289964,1923766015.1235824,92775719.0838476,121702518.7754676,264010030.22089255,213881140.1343854,882323030.4086295,462019852288.094,4273338465.097812,3278223602.967067,641925379.4597839,2512665927.369983,5185005485.613534,42571321335.87376,9591135541.571804,750691133.7567922
2021-09-05,110188907.41447902,1134950329.9665697,1393656560.7893689,312966007.217317,1953659397.4134307,93296645.32556032,146318657.68483093,272507003.18273413,219748007.49397057,880821473.340944,456929768632.2518,4808228159.934287,3211872401.036015,669398571.3952777,2537293987.012748,5253363107.07385,40720531105.91831,11393054301.5855,763940825.9643387
2021-09-06,107131414.95809174,1160102419.089886,1425861996.981536,324658164.07390875,2033825672.461112,87342221.48677611,138525438.2089102,275049846.91941047,201168871.76948756,857996933.9963148,463973074693.0737,4733539706.358704,3341219830.7127075,692161837.3665892,2737582090.9681125,5475015994.872808,41412015757.628494,11078823164.115189,726944863.086671
2021-09-07,108836755.23830052,1104380527.7924118,1386303627.176015,323179671.7684033,2037080639.5955768,84655503.19804499,128511004.53230654,339541091.9464028,187688767.5957367,847003478.6682289,463012228435.44434,4578174058.877024,3286241143.0871644,673370822.7098674,2640954557.505363,5403617817.25609,47904979408.22902,10992844660.896729,650390258.4818207
2021-09-08,99628055.07155806,850017466.360102,1106345756.1142588,228436123.8282768,1642057362.3050356,63682333.9358168,118973266.26724252,246137896.53113303,181186212.71001804,672088117.9664183,404516339491.4938,3718578712.52772,2765421584.808069,531456681.2353229,2118249817.0207489,4587661352.61514,51322390022.24564,9144061518.984283,540865029.3277507
2021-09-09,96104800.17948604,878728870.866257,1136355865.801472,231147967.11083028,1624672768.6909325,67198595.4281043,110756247.48643462,230581752.55250496,193899635.44535464,710299466.6679049,413866162089.4392,3931485855.368066,2741028387.3413806,528235660.1990684,2190127229.4286766,4370472068.971933,55627271034.27753,8898039832.260374,522442323.18797976
2021-09-10,96976102.57740287,992675290.8899962,1157818120.5805864,240143481.32089463,1666609582.423136,64739711.321709104,109970267.67337692,231378952.65468752,158884997.79579198,781130057.6525266,403936419964.8866,4011065026.929165,2662576538.5842423,548470965.9678591,2126321230.340665,4401549364.958191,55264334912.28869,9104496096.082672,483999425.17394114
2021-09-11,94609057.634955,895120942.4715157,1082399019.16475,225392036.46826348,1535273964.377032,59180667.60905288,98539509.3938614,224406701.8030929,150299878.8624573,692497912.0960661,376789025177.2447,3789414022.471074,2506216341.5367064,518283911.8470628,1942563943.5653644,4109463836.394928,52325632036.02054,8631212236.51232,456435460.8065719
2021-09-12,93937071.80978388,927772475.7081392,1097419669.4013782,225871135.4576524,1562632761.9016428,55451627.13409444,104960054.70920816,238470760.6286728,184792915.50925255,706197193.9399967,383321475836.21576,3967964362.491784,2557825973.225627,525086875.9050737,2037742335.123364,4305527052.558848,52220905554.67757,8716622882.088964,507092428.3320942
2021-09-13,96997714.89691427,935979899.1246692,1127494981.3162642,235676193.88418984,1603023713.803445,59294988.88514595,104562819.77536169,240433101.02318925,164976653.47930083,728622916.7967728,402834673220.724,4049545217.5652094,2607111941.1368937,540852673.3367876,2290563131.395213,4410610973.076078,51473851354.0501,8925706011.906687,538255384.7851446
2021-09-14,94155726.8959777,873026551.2571183,1092940560.038465,215784335.2333964,1520938321.1821618,53764186.65553123,96840403.88147004,222869733.18005636,149323804.3913932,668420550.0158767,387934440817.1596,3766519500.527565,2545062254.849387,514814162.741281,2137176644.5445917,4383678511.229711,49653193581.09068,8326852729.206559,475202424.9007525
2021-09-15,94342506.46432704,891215284.9520159,1125200767.1210506,226912610.0287779,1572021893.6258843,55977356.44699817,98890989.6834752,226419182.35933983,177228488.75711438,707528214.0636135,402557959131.822,3857229047.590609,2600312806.0511084,553394002.4664409,2515562100.388172,5049680648.935327,46493824080.66087,8774080306.560171,539490089.054965
2021-09-16,95782477.31143329,915287014.6184812,1136946258.8168683,237035569.80899012,1638682135.0188394,91464291.93699856,103633853.56446332,232513309.0226855,179694630.4396206,721104847.0458338,421477522819.9356,3961243571.4540944,2755921059.0820704,591434565.8533019,2913601635.080647,5416142919.304927,46994383928.49487,9360593251.994034,523185966.67245686
2021-09-17,96904416.52497493,1200269374.174452,1119567897.6514363,235337899.564028,1573743691.4966133,87778098.5674892,116390783.26656912,225121459.38513476,189143744.10566556,737199629.829695,419510540250.7301,3895776878.608073,2682938477.792046,602184539.4576505,2868524067.6457586,5066546958.039077,45094080634.83586,9210851903.215471,601392928.3419665
